0,1,2
Strategy - Please,,
please,"[('jy', 38), ('asseblief', 34), ('asb', 28), ('kyk', 5), ('jy asseblief', 4)]",True
Strategy - Please_start,,
please,"[('jy', 38), ('asseblief', 34), ('asb', 28), ('kyk', 5), ('jy asseblief', 4)]",True
Strategy - HASHEDGE,,
think,"[('dink', 80), ('jy', 44), ('dink jy', 6), ('mening', 3), ('dat', 3)]",True
thought,"[('dog', 4), ('het', 3), ('gedagte', 2), ('gedink', 2), ('dat', 1)]",True
thinking,"[('aan', 1), ('dink', 1), ('dat', 1), ('gedink', 1), ('dat _ gedink _ dat', 1)]",True
almost,"[('amper', 9), ('byna', 3)]",True
apparent,[],True
apparently,"[('blykbaar', 5), ('klaarblyklik', 2), ('het', 1)]",True
appear,"[('verskyn', 5), ('vertoon', 3), ('kom', 2), ('blyk', 1), ('bloot', 1)]",True
appeared,"[('verskyn', 2)]",True
appears,"[('verskyn', 3), ('voorkom', 3), ('duik', 1), ('blyk', 1), ('kom', 1)]",True
approximately,[],False
around,"[('rondom', 9), ('rond', 6), ('om', 4), ('rondgekyk', 1), ('al', 1)]",True
assume,"[('neem', 22), ('veronderstel', 2), ('dat', 1), ('aan', 1)]",True
assumed,"[('het', 1)]",True
certain amount,[],False
certain extent,[],False
certain level,[],False
claim,"[('aanspraak', 2), ('aanspraak _ maak', 1), ('maak', 1), ('beweer', 1), ('bewering', 1)]",True
claimed,"[('beweer', 4)]",True
doubt,"[('twyfel', 3), ('betwyfel', 1)]",True
doubtful,[],False
essentially,[],True
estimate,[],True
estimated,"[('geraamde', 1), ('geschatte', 1), ('beraamde', 1)]",True
feel,"[('voel', 19), ('jy', 4), ('dich', 1), ('lus', 1), ('skuldig voel', 1)]",True
felt,"[('voel', 2), ('het', 1), ('gevoel', 1)]",True
frequently,[],False
from our perspective,[],False
generally,"[('algemeen', 1)]",True
guess,"[('raai', 2)]",True
in general,[],True
in most cases,[],False
in most instances,[],False
in our view,[],False
indicate,"[('aandui', 3), ('dui', 3), ('aan', 1), ('aangee', 1), ('beduie', 1)]",True
indicated,"[('aangedui', 1)]",True
largely,"[('grootliks', 1)]",True
