sentence,score
"@Smjg, thanks. But why did you also remove the categories I added?",-0.4845952676
Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,1.189654652
After ''New Jersey'' leaves the mainpage it will be nessicary for us to check all the article linked to USS ''New Jersey'' and ensure that no subtle vandalism crept into them by means of the USS ''New Jersey'' article. Are you willing to help?,0.5530392749
"At the Chicago house article, I think the current state of house music in its birthplace, Chicago, should be added. What do you think?",0.6091375231
"I see you removed the review, which makes sense until at least four days from now, when it won't be mentioned on the mainpage at all. But maybe leave a note at <url> so he doesn't feel put-off?",-0.5918786629999999
"Say what? And what does this have to do with ""Happy New Year"" and my pretty picture?",-1.6765745719999998
Um... the Kent roast? Tentrake host?,-0.6075714978
"If you're going to accuse me of operating in bad faith, then the discussion has become inappropriately personal. On what grounds do you make such an implication?",-1.861420153
I see that you are becoming a little bit paranoid. Do i need to do a check user for you ?,-1.370233181
When you deleted <url> did you accidentally overlook the <person> template? Or do you have some reason for ignoring it?,-1.230706992
Thank you for deleting the attack page I tagged. Should <url> be blocked for creating it?,1.236620812
"I'm sorry, I'm having trouble understanding your question. Could you try again?",1.099932995
"I see that you closed that CfD discussion as rename, but haven't actually renamed the categories. What's up with that?",-0.9556501466
Why doesnt belong there??,-0.9157887169
I see that there now. Do you want me to tie it all in or do you want to work on it?,0.8367683444
I was about to participate in the Afd on Wooster Greeks. You've reverted yourself and re-closed it?,-0.8149937447
"Thanks for the heads-up on that; I don't really have anything to add beyond what you'd said. By the way, I noticed you said you weren't an admin: would you like to be?",1.108480488
"I hope I don't upset anyone by jumping in univited, but why are self-created images any different than those found elsewhere so long as they comply with all of the non-free content criteria? Is this caveat hiding in a talk page archive somewhere?",0.6736919473999999
"I'm sorry, but I don't see what you're talking about. Could you be more specific?",0.8032941325
"Why was <url> deleted when it was simply a crop of <url> which is public domain? I'm pretty sure I wrote that on the description page, but if not, can it be restored?",-0.44412657
"Hi there. On a tangential note, would you happen to be <person>?",0.6435247083
"OK, then, define ""bias"", propose a way to quantify it, and if it's accepted by consensus, we'll apply it to ''all'' the admins on that page. Or, perhaps as a starting point, how about presenting some evidence?",-1.151564215
"Certainly the work is out of copyright, and some of the neighboring volumes in the series are visible on archive.org (and I don't have trouble with other books on google generally). I wonder if you know of any way, or could suggest any way, that I could get to see the downloaded pdf of Newcomb vol.6?",0.7720323451000001
"The answer is ""one citation per city"". Information must always be verifiable; without verifiable sources for say, Unna, how exactly are we to tell that the article is accurate?",-0.7465840078
"Hi there, it looks like the moving editor has added a bunch of references to the talk page supporting the fact Toto is no longer formally referred to as Moorland Totilas. Do you think if we added one or more of the refs he's added on the talk page to the article we could move it back?",0.9224970421
"OK, I'll bite. How is ''Matt ""Dirty"" Sanchez'' to be construed as anything other than a personal attack?",-1.024536684
"Also perhaps we should set up a subpage for these discussions, so we'll have the thread completely on one page? What do you think?",0.6758386288
"At the top of the page it characterizes a guideline as ''a generally accepted standard that editors should follow'' along with a passing reference to <url>. So, I might ask, how would using 4 tildes prevent you from improving or maintaining Wikipedia?",-0.4738582893999999
