0,1,2
Strategy - Please,,
please,"[('कृपया', 43), ('करें', 8), ('मदद', 7), ('मुझे', 7), ('करूँ', 6)]",True
Strategy - Please_start,,
please,"[('कृपया', 43), ('करें', 8), ('मदद', 7), ('मुझे', 7), ('करूँ', 6)]",True
Strategy - HASHEDGE,,
think,"[('लगता', 30), ('विचार', 15), ('है', 10), ('कि', 9), ('सोचते', 8)]",True
thought,"[('सोचा', 8), ('विचार', 6), ('आपने', 3), ('था', 2), ('मैंने', 2)]",True
thinking,"[('सोच', 5), ('विचार', 4), ('सोचकर', 2), ('समझ', 1), ('समझता', 1)]",True
almost,"[('लगभग', 7)]",True
apparent,[],False
apparently,[],False
appear,"[('आते', 2), ('नही', 1), ('दिखाई', 1), ('देने', 1)]",True
appeared,"[('आ', 1), ('हुआ', 1), ('इधर', 1)]",True
appears,"[('प्रकट', 2), ('होता', 1), ('दिखतअ', 1), ('प्रकट होती', 1), ('होती', 1)]",True
approximately,[],False
around,"[('ओर', 3), ('के', 1), ('around', 1), ('में', 1), ('फेरती', 1)]",True
assume,"[('मान', 2)]",True
assumed,"[('मानकर', 3), ('मानभी', 3), ('मान', 1)]",True
certain amount,[],False
certain extent,[],False
certain level,[],False
claim,"[('दावे', 1)]",True
claimed,[],True
doubt,"[('शंका', 2), ('संशय', 1), ('नहीं', 1), ('नहीं कहीं', 1), ('कहीं', 1)]",True
doubtful,[],False
essentially,[],False
estimate,"[('अनुमान', 1)]",True
estimated,"[('अनुमानित', 1)]",True
feel,"[('मन', 8), ('लगता', 4), ('अनुभव', 2), ('है', 2), ('यह', 2)]",True
felt,"[('लगा', 6), ('लगाया', 2)]",True
frequently,[],False
from our perspective,[],False
generally,"[('सामान्यतः', 2)]",True
guess,[],True
in general,[],False
in most cases,[],False
in most instances,[],False
in our view,[],False
indicate,"[('प्रतीत', 1)]",True
indicated,[],False
largely,[],False
likely,[],False
mainly,"[('मुख्यतः', 1)]",True
may,"[('सकता', 8), ('शायद', 6), ('मई', 3), ('क्या', 3), ('हैं', 3)]",True
maybe,"[('शायद', 28), ('सकता', 3), ('सकता है', 2), ('है', 2), ('क्योकि', 2)]",True
might,"[('सकता', 3), ('हो', 2), ('शायद', 1)]",True
mostly,[],False
often,"[('अक्सर', 4), ('बहुधा', 1)]",True
on the whole,[],False
ought,[],True
perhaps,"[('शायद', 9)]",True
plausible,[],False
plausibly,[],False
possible,"[('संभव', 13), ('सम्भव', 7), ('सकता', 4), ('बार', 1)]",True
possibly,[],False
postulate,[],False
postulated,[],False
presumable,[],False
probable,[],False
probably,"[('शायद', 17), ('संभवतः', 3), ('आपने शायद', 1), ('आपने', 1), ('ही', 1)]",True
relatively,[],False
roughly,[],False
seems,"[('है', 11), ('लगता', 2), ('हैं', 1)]",True
should,"[('चाहिए', 63), ('क्या', 34), ('चाहिये', 20), ('जाए', 10), ('जाय', 9)]",True
sometimes,"[('कभी', 3), ('कभी कभी', 1), ('कभी _ कभी', 1)]",True
somewhat,[],False
suggest,"[('सुझाई', 2), ('सुझाएँगे', 2), ('सुझाव', 1), ('सुझाव देने', 1), ('देने', 1)]",True
suggested,"[('द्वारा', 1)]",True
suppose,"[('माना', 1)]",True
suspect,"[('है', 1)]",True
tend to,[],False
tends to,[],False
typical,"[('ठेठ', 1)]",True
typically,[],False
uncertain,[],False
uncertainly,[],False
unclear,"[('अस्पष्ट', 1)]",True
unclearly,[],False
unlikely,[],False
usually,"[('सामान्यतः', 2)]",True
broadly,[],False
tended to,[],True
presumably,[],False
suggests,[],False
from this perspective,[],False
from my perspective,[],False
in my view,[],True
in this view,[],False
in our opinion,[],False
in my opinion,[],True
to my knowledge,[],False
fairly,[],False
quite,"[('काफी', 2), ('काफ़ी', 1)]",True
rather,"[('बल्कि', 2), ('बजाय', 1)]",True
argue,"[('तर्क', 2), ('बैचैन', 1)]",True
argues,[],False
argued,[],False
claims,"[('claims', 1)]",True
feels,"[('भी', 1), ('मुश्कित', 1), ('भी मुश्कित लगती', 1), ('लगती', 1), ('लगता', 1)]",True
indicates,[],False
supposed,[],True
supposes,[],False
suspects,[],False
postulates,[],False
Strategy - Deference,,
great,"[('महान्', 5), ('महान', 5), ('बड़े', 2), ('बड़ा', 2), ('महाप्रवीण', 1)]",True
good,"[('अच्छा', 25), ('अच्छे', 8), ('अच्छी', 7), ('सति', 2), ('अच्चे', 1)]",True
nice,"[('अच्छा', 3), ('सुन्दर', 1)]",True
good,"[('अच्छा', 25), ('अच्छे', 8), ('अच्छी', 7), ('सति', 2), ('अच्चे', 1)]",True
interesting,"[('दिलचस्प', 2), ('है', 1)]",True
cool,[],True
excellent,"[('श्रेष्ठ', 1), ('बढ़िया', 1)]",True
awesome,"[('शानदार', 1)]",True
Strategy - 1st_person_pl.,,
we,"[('हम', 129), ('हमें', 16), ('हमने', 16), ('हमे', 12), ('हमारे', 7)]",True
our,"[('हमारे', 22), ('हमारी', 16), ('हमारा', 8), ('अपनी', 4), ('हाथ', 2)]",True
us,"[('हमें', 15), ('हमारे', 10), ('हमारी', 6), ('हम', 5), ('हमारा', 4)]",True
ourselves,"[('आपस', 2), ('आपस में', 2), ('में', 2), ('आपको', 1)]",True
Strategy - 1st_person,,
i,"[('मैं', 317), ('मैंने', 211), ('मुझे', 207), ('मै', 35), ('मैने', 30)]",True
my,"[('मेरे', 109), ('मेरी', 45), ('मेरा', 45), ('अपने', 16), ('अपनी', 11)]",True
mine,"[('मेरी', 4), ('मेरे', 3), ('मेरा', 1), ('mine', 1)]",True
myself,"[('स्वयं', 8), ('अपने', 6), ('अपने स्वयं', 3), ('मेरे', 2), ('ही', 2)]",True
Strategy - 1st_person_start,,
i,"[('मैं', 317), ('मैंने', 211), ('मुझे', 207), ('मै', 35), ('मैने', 30)]",True
my,"[('मेरे', 109), ('मेरी', 45), ('मेरा', 45), ('अपने', 16), ('अपनी', 11)]",True
mine,"[('मेरी', 4), ('मेरे', 3), ('मेरा', 1), ('mine', 1)]",True
myself,"[('स्वयं', 8), ('अपने', 6), ('अपने स्वयं', 3), ('मेरे', 2), ('ही', 2)]",True
Strategy - 2nd_person,,
you,"[('आप', 751), ('आपने', 249), ('आपको', 223), ('आपके', 75), ('आपका', 45)]",True
your,"[('आपकी', 66), ('आपके', 62), ('आपका', 50), ('अपने', 42), ('अपनी', 20)]",True
yours,"[('ही', 1), ('अपनी', 1), ('ना', 1), ('ना _ अपनी', 1), ('मुझे', 1)]",True
yourself,"[('अपने', 9), ('आप', 6), ('स्वयं', 5), ('ही', 2), ('को', 2)]",True
Strategy - 2nd_person_start,,
you,"[('आप', 751), ('आपने', 249), ('आपको', 223), ('आपके', 75), ('आपका', 45)]",True
your,"[('आपकी', 66), ('आपके', 62), ('आपका', 50), ('अपने', 42), ('अपनी', 20)]",True
yours,"[('ही', 1), ('अपनी', 1), ('ना', 1), ('ना _ अपनी', 1), ('मुझे', 1)]",True
yourself,"[('अपने', 9), ('आप', 6), ('स्वयं', 5), ('ही', 2), ('को', 2)]",True
Strategy - Indirect_(greeting),,
hi,"[('नमस्ते', 17), ('हाय', 3), ('हेलो', 1), ('नमस्कार', 1), ('जी', 1)]",True
hello,"[('नमस्ते', 44), ('नमस्कार', 23), ('जी', 4), ('हेलो', 3), ('नमस्कार्', 2)]",True
hey,"[('अरे', 15), ('ऐ', 1)]",True
Strategy - Direct_question,,
what,"[('क्या', 585), ('किस', 54), ('जो', 25), ('कि', 17), ('कौन', 16)]",True
why,"[('क्यों', 198), ('क्यो', 25), ('कि', 15), ('क्या', 12), ('आप', 7)]",True
who,"[('किसने', 97), ('कौन', 81), ('जो', 73), ('क्या', 7), ('किसे', 7)]",True
how,"[('कैसे', 218), ('क्या', 27), ('कितने', 24), ('कितना', 19), ('कैसा', 18)]",True
Strategy - Direct_start,,
so,"[('तो', 128), ('अतः', 33), ('इतना', 28), ('इसलिए', 20), ('इतनी', 18)]",True
then,"[('तो', 205), ('फिर', 75), ('तब', 56), ('तभी', 7), ('तो _ तो', 4)]",True
and,"[('और', 755), ('व', 42), ('तथा', 36), ('एवं', 32), ('कर', 26)]",True
but,"[('लेकिन', 198), ('पर', 122), ('परन्तु', 48), ('किन्तु', 27), ('परंतु', 18)]",True
or,"[('या', 329), ('अथवा', 44), ('कि', 5), ('एकदो', 4), ('वा', 2)]",True
Strategy - HASPOSITIVE,,
a+,[],False
abound,[],False
abounds,[],False
abundance,[],False
abundant,[],False
accessable,[],False
accessible,[],False
acclaim,[],True
acclaimed,"[('प्रशंसित', 1)]",True
acclamation,[],False
accolade,[],False
accolades,[],False
accommodative,[],False
accomodative,[],False
accomplish,[],False
accomplished,[],False
accomplishment,[],False
accomplishments,[],False
accurate,[],False
accurately,[],False
achievable,[],False
achievement,[],False
achievements,[],False
achievible,[],False
acumen,[],False
adaptable,[],False
adaptive,[],False
adequate,"[('पर्याप्त', 2)]",True
adjustable,[],False
admirable,[],False
admirably,[],False
admiration,[],False
admire,"[('प्रंसन्सा', 1)]",True
admirer,[],False
admiring,[],False
admiringly,[],False
adorable,[],False
adore,[],False
adored,[],False
adorer,[],False
adoring,[],False
adoringly,[],False
adroit,[],False
adroitly,[],False
adulate,[],False
adulation,[],False
adulatory,[],False
advanced,[],False
advantage,[],False
advantageous,[],False
advantageously,[],False
advantages,[],False
adventuresome,[],False
adventurous,[],False
advocate,[],True
advocated,[],False
advocates,[],False
affability,[],False
affable,[],False
affably,[],False
affectation,[],False
affection,"[('स्नेह', 6)]",True
affectionate,[],False
affinity,"[('लगाव', 1)]",True
affirm,[],True
affirmation,[],True
affirmative,[],False
