0,1,2
Strategy - Please,,
please,"[('xin', 64), ('hãy', 26), ('bạn', 22), ('lòng', 9), ('vui', 7)]",True
Strategy - Please_start,,
please,"[('xin', 64), ('hãy', 26), ('bạn', 22), ('lòng', 9), ('vui', 7)]",True
Strategy - HASHEDGE,,
think,"[('nghĩ', 221), ('cho', 39), ('thấy', 36), ('rằng', 15), ('nào', 9)]",True
thought,"[('tưởng', 16), ('nghĩ', 15), ('cho', 4), ('cứ', 2), ('ngờ', 1)]",True
thinking,"[('nghĩ', 10), ('tính', 2), ('suy', 2), ('cho', 1), ('suy nghĩ', 1)]",True
almost,"[('gần', 16), ('hầu', 6), ('như', 2), ('gần như', 1), ('bằng', 1)]",True
apparent,[],True
apparently,"[('hình', 3), ('ràng', 2), ('rõ ràng', 2), ('rõ', 2), ('như', 1)]",True
appear,"[('hiện', 21), ('xuất', 7), ('xuất hiện', 5), ('được hiện lên', 1), ('lên', 1)]",True
appeared,"[('hiện', 8), ('xuất', 5), ('xuất hiện', 4), ('ra', 2), ('lộ', 1)]",True
appears,"[('xuất', 2), ('hiện', 2), ('ở', 1), ('xuất hiện', 1), ('tỏ', 1)]",True
approximately,"[('xấp', 1), ('xấp xỉ', 1), ('xỉ', 1)]",True
around,"[('quanh', 10), ('tung', 3), ('xung', 3), ('vòng', 1), ('khắp', 1)]",True
assume,"[('cho', 4), ('sử', 2), ('giả', 2), ('giả sử', 2), ('rằng', 2)]",True
assumed,"[('cho', 2), ('cho rằng', 1), ('rằng', 1)]",True
certain amount,[],False
certain extent,[],False
certain level,[],False
claim,"[('đòi', 3), ('tự', 3), ('nhận', 2), ('tuyên', 2), ('tuyên bố', 1)]",True
claimed,"[('tự', 1)]",True
doubt,"[('ngờ', 5), ('nghi', 2), ('cứ', 1), ('nghi ngờ', 1)]",True
doubtful,"[('nghi', 1), ('nghi ngờ', 1), ('ngờ', 1)]",True
essentially,[],False
estimate,[],False
estimated,[],False
feel,"[('thấy', 120), ('cảm', 22), ('cảm thấy', 9), ('nào', 1), ('có thấy', 1)]",True
felt,"[('thấy', 2), ('cảm', 1), ('giác', 1)]",True
frequently,[],False
from our perspective,[],False
generally,"[('chung', 2), ('chung chung', 1)]",True
guess,"[('đoán', 19), ('là', 6), ('chắc', 6), ('đoán là', 5), ('có', 2)]",True
in general,"[('tổng', 1)]",True
in most cases,[],False
in most instances,[],False
in our view,[],False
indicate,"[('biết', 1), ('chỉ', 1)]",True
indicated,"[('chỉ', 1), ('rõ', 1), ('chỉ rõ', 1)]",True
largely,[],False
likely,"[('thể', 3), ('năng', 1), ('năng là', 1), ('là', 1)]",True
mainly,"[('yếu', 6), ('chủ yếu', 2), ('chủ', 2)]",True
may,"[('cho', 31), ('có', 14), ('thể', 12), ('xin', 11), ('có thể', 3)]",True
maybe,"[('có', 48), ('lẽ', 35), ('có lẽ', 23), ('thể', 11), ('có thể', 9)]",True
might,"[('thể', 5), ('lẽ', 1), ('thường', 1), ('sẽ', 1), ('thì', 1)]",True
mostly,"[('phần', 2), ('toàn', 1), ('chủ', 1), ('chủ _ toàn', 1)]",True
often,"[('thường', 36), ('hay', 16), ('thường xuyên', 3), ('xuyên', 3), ('rất', 1)]",True
on the whole,[],False
ought,[],True
perhaps,"[('lẽ', 32), ('có', 17), ('có lẽ', 15), ('chắc', 2), ('perhaps', 1)]",True
plausible,[],False
plausibly,[],False
possible,"[('thể', 25), ('khả', 5), ('được', 4), ('có', 2), ('khả _ không', 1)]",True
possibly,"[('thể', 5), ('có thể', 2), ('có', 2), ('được', 1), ('thể được', 1)]",True
postulate,[],False
postulated,[],False
presumable,[],False
probable,[],False
probably,"[('lẽ', 22), ('cũng', 8), ('chắc', 7), ('là', 5), ('chắc là', 3)]",True
relatively,"[('đối', 7), ('tương', 2)]",True
roughly,"[('tạm', 2), ('xấp', 1), ('xấp xỉ', 1), ('xỉ', 1), ('gần', 1)]",True
seems,"[('hình', 14), ('vẻ', 11), ('có', 8), ('dường', 5), ('như', 3)]",True
should,"[('nên', 171), ('phải', 40), ('có', 30), ('nào', 5), ('liệu', 4)]",True
sometimes,"[('đôi', 16), ('khi', 11), ('lúc', 7), ('nhiều', 6), ('đôi khi', 5)]",True
somewhat,"[('hơi', 2), ('có', 1), ('phần', 1)]",True
suggest,"[('nghị', 9), ('đề', 7), ('xuất', 5), ('ý', 4), ('cho', 2)]",True
suggested,"[('đề', 7), ('nghị', 6), ('đề nghị', 4), ('ý', 3), ('từng', 1)]",True
suppose,"[('sử', 2), ('giả', 2), ('giả sử', 2)]",True
suspect,"[('ngờ', 3), ('nghi', 3)]",True
tend to,[],True
tends to,[],True
typical,"[('điển', 1), ('thể', 1), ('thể _ điển', 1), ('thương', 1), ('biểu', 1)]",True
typically,"[('điển', 3)]",True
uncertain,"[('chưa', 1)]",True
uncertainly,[],False
unclear,"[('rõ', 3), ('chưa', 2), ('không', 2), ('ràng', 2), ('chưa rõ', 1)]",True
unclearly,[],False
unlikely,[],False
usually,"[('thường', 15)]",True
broadly,[],False
tended to,[],True
presumably,"[('chắc', 1), ('theo', 1)]",True
suggests,[],False
from this perspective,[],False
from my perspective,[],False
in my view,[],True
in this view,[],True
in our opinion,[],False
in my opinion,[],True
to my knowledge,[],False
fairly,[],False
quite,"[('khá', 55), ('đối', 2), ('tương', 2), ('đúng', 1), ('lắm', 1)]",True
rather,"[('hơn', 6), ('chứ', 5), ('khá', 2), ('đừng', 1), ('hay', 1)]",True
argue,"[('cãi', 6), ('luận', 4), ('tranh', 4), ('tranh luận', 2), ('chuyện', 1)]",True
argues,"[('biện', 1), ('luận', 1)]",True
argued,"[('luận', 2), ('tranh luận', 1), ('tranh', 1), ('cãi', 1)]",True
claims,"[('bố', 1), ('nhận', 1), ('tự', 1)]",True
feels,"[('thấy', 2), ('có', 1), ('giác', 1)]",True
indicates,[],False
supposed,"[('hình', 1), ('có', 1)]",True
supposes,[],False
suspects,"[('nghi', 2), ('nghi sĩ', 1), ('sĩ', 1)]",True
postulates,[],False
Strategy - Deference,,
great,"[('đại', 15), ('lớn', 6), ('đế', 6), ('vĩ', 5), ('quá', 4)]",True
good,"[('tốt', 63), ('giỏi', 12), ('hay', 12), ('ổn', 8), ('lắm', 3)]",True
nice,"[('hay', 3), ('túc', 1), ('vui', 1), ('rất', 1), ('rất hay', 1)]",True
good,"[('tốt', 63), ('giỏi', 12), ('hay', 12), ('ổn', 8), ('lắm', 3)]",True
