0,1,2
Strategy - Please,,
please,"[('முடியுமா', 9), ('உதவ', 2), ('உதவ முடியுமா', 2), ('இயலுமா', 2), ('நீங்கள்', 2)]",True
Strategy - Please_start,,
please,"[('முடியுமா', 9), ('உதவ', 2), ('உதவ முடியுமா', 2), ('இயலுமா', 2), ('நீங்கள்', 2)]",True
Strategy - HASHEDGE,,
think,"[('நீங்கள்', 7), ('நினைக்கிறீர்கள்', 7), ('நான்', 6), ('நினைக்கின்றீர்கள்', 5), ('think', 3)]",True
thought,"[('thought', 4), ('எண்ணியிருப்பீர்கள்', 1), ('என', 1), ('யோசித்தபோது', 1), ('கேட்டிருந்த', 1)]",True
thinking,"[('சிந்திப்பது', 1), ('நினைத்து', 1), ('உங்களுக்கு', 1), ('உண்டா', 1), ('உங்களுக்கு _ உண்டா', 1)]",True
almost,"[('தானியங்கி', 1), ('கழகப்', 1), ('கிட்டத்தட்ட', 1)]",True
apparent,"[('எவ்வித', 1)]",True
apparently,[],False
appear,"[('தோன்றவில்லை', 2), ('படாத', 1), ('செரிக்கப்பட்டுள்ளது', 1), ('உள்ளது', 1), ('காணப்படுகிறது', 1)]",True
appeared,"[('செய்திகளை', 1)]",True
appears,"[('தோன்றுகின்றது', 2), ('சொற்றொடர் _ வருகிறது', 2), ('வருகிறது', 2), ('சொற்றொடர்', 2), ('தோன்றுகிறது', 1)]",True
approximately,"[('ஏறத்தாழ', 3)]",True
around,"[('வளைக்கிறீர்கள்', 2), ('சுற்றி', 1)]",True
assume,"[('எடுத்துக்கொள்ளலாமா', 2), ('எனக்கொள்ளலாமா', 1)]",True
assumed,[],False
certain amount,[],False
certain extent,[],False
certain level,[],False
claim,"[('இக்கூற்று', 2), ('கூற்று', 1)]",True
claimed,[],False
doubt,"[('ஐயம்', 10), ('சந்தேகம்', 7), ('doubt', 1), ('வீண்', 1), ('ஐயம் என்னவெனில்', 1)]",True
doubtful,[],False
essentially,"[('அடிப்படையில்', 1)]",True
estimate,"[('அடிப்படையில்', 1)]",True
estimated,[],False
feel,"[('நீங்கள்', 1), ('பார்த்தால்', 1), ('நீங்களே', 1), ('உணர', 1), ('உணர்வேன்', 1)]",True
felt,[],True
frequently,[],True
from our perspective,[],False
generally,"[('பொதுவாக', 1), ('தாங்கவே _ உண்டா', 1), ('உண்டா', 1), ('தாங்கவே', 1)]",True
guess,"[('அணுமானிக்கிறேன்', 2), ('புதியவர்களாதலால்', 2), ('ஊகம்', 1), ('என நினைக்கிறேன்', 1), ('என', 1)]",True
in general,[],True
in most cases,[],False
in most instances,[],False
in our view,[],False
indicate,"[('குறிப்பிட்டால்', 4), ('குறிப்பிட்டால் _ கருத்தில்லையெனில்', 2), ('கருத்தில்லையெனில்', 2), ('குறிக்கும்வகையில்', 2)]",True
indicated,"[('குறிக்கப்பட்டுள்ளது', 1), ('சுட்டியுள்ளது', 1)]",True
largely,[],False
likely,[],True
mainly,"[('முக்கியமாக', 1), ('பிரதானமாக', 1)]",True
may,"[('இருக்கலாம்', 8), ('நிர்வாகித்', 2), ('மே', 2), ('போயிருக்கலாம்', 1), ('எனது _ தந்திருக்கலாம்', 1)]",True
maybe,"[('ஒருவேளை', 12), ('ஒரு', 5), ('சேர்ப்பதால்', 1), ('ஒரு வேளை', 1), ('வேளை', 1)]",True
might,"[('இருந்தால்', 1), ('யாரோ', 1), ('தொடங்கலாம்', 1)]",True
mostly,[],False
often,"[('பெரும்பாலும்', 4), ('அதிகளவில்', 1), ('முடியாது', 1)]",True
on the whole,[],False
ought,[],True
perhaps,[],True
plausible,[],False
plausibly,[],False
possible,"[('முடியுமா', 190), ('இயலுமா', 16), ('செய்யலாமா', 3), ('முடிந்தால்', 3), ('உருவாக்கலாம்', 2)]",True
possibly,"[('possibly', 3)]",True
postulate,[],False
postulated,[],False
presumable,[],False
probable,[],False
