sentence,score
"@Smjg, thanks. But why did you also remove the categories I added?",-0.4845952676
Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,1.189654652
I'm not sure what you mean by the old factory farming discussion. Is something missing?,0.107457434
After ''New Jersey'' leaves the mainpage it will be nessicary for us to check all the article linked to USS ''New Jersey'' and ensure that no subtle vandalism crept into them by means of the USS ''New Jersey'' article. Are you willing to help?,0.5530392749
"""Office actions will be clearly indicated both during and after to prevent ambiguities."" -- <url>. So then does that mean it was probably DMCA?",-0.14343275490000001
"Another question: Does ""Senn"" exist in Japanese? If it does, is it possible to render Sennin as Senn-in?",0.3152275497
"Hi, I was wondering why it is that <url> only has two articles in it -- and whether it should be kept. Has it ever been more fully populated?",0.3468643325
"Not exactly clear what you mean: Wisconsin CDPs are just like CDPs in the rest of the country, and they already have <url>. Or do you mean something that I'm missing?",0.44176892770000004
"What is the most common way to spell the first paragraph of an intro? is it ""lede"" or ""lead"" or something else?",-0.4127082554
"At the Chicago house article, I think the current state of house music in its birthplace, Chicago, should be added. What do you think?",0.6091375231
"Senta.jpg was garbled or empty or some such, so I deleted it. You might want to try re-uploading?",-0.12228406550000001
Holy cow! What happened?,-0.21983658309999998
"Never expected to see that word pop up on Wikipedia. Did youlearn it at AFU, or has it migrated further?",-0.213944458
"My page now has a template of ""multiple issues"", but I have put in several references, and there are links to other pages. What more should I do?",-0.12686907220000002
"I see you removed the review, which makes sense until at least four days from now, when it won't be mentioned on the mainpage at all. But maybe leave a note at <url> so he doesn't feel put-off?",-0.5918786629999999
"Having read your Userpage, it is unclear if you've ever actually '''been to''' South Africa (or Namibia for that matter) - but it is clear that you've made significant contributions. So first off, thanks a lot for all your apparent great work, and if I may ask, how much time have you spent in South Africa -- purely out of interest?",-0.33705564590000003
"Say what? And what does this have to do with ""Happy New Year"" and my pretty picture?",-1.6765745719999998
Is there really any serious debate that Mobile IE is remotely comparable to Safari mobile? What source would be acceptable to show this?,-0.08152001387999999
Um... the Kent roast? Tentrake host?,-0.6075714978
"If you're going to accuse me of operating in bad faith, then the discussion has become inappropriately personal. On what grounds do you make such an implication?",-1.861420153
Hi. Are you ready to start the RfA?,0.2573532523
I noticed you reverted a deletion on FC Bayern's wikipedia page. Do we know if Stephan Fxfcrstner has been loaned out to any club like Christian Lell went to FFC Koeln or like Mats Hummels did to Burussia Dortmund?,0.2515291384
I see that you are becoming a little bit paranoid. Do i need to do a check user for you ?,-1.370233181
When you deleted <url> did you accidentally overlook the <person> template? Or do you have some reason for ignoring it?,-1.230706992
Thank you for deleting the attack page I tagged. Should <url> be blocked for creating it?,1.236620812
"Actually, the page I am looking for is more like the equivalent of '''<url>''' here at en:wiki. Do you know of such a page at nn:wiki?",0.1908961991
"I'm sorry, I'm having trouble understanding your question. Could you try again?",1.099932995
"Clever work with the search and replace (I still think w:es should have recognised that ISO date format, tho'). Now, any idea where I can find a list of the DF's late, unlamented ''regentes'' to flesh out my <url> article?",0.473694546
"I might have just done a wrong revert on this art - what do you think? Small cf Singapores Changi maybe - but, ...?",0.23770848890000001
